<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.02.03	35.8545	35.8668	35.6525	35.6525	3749	0	0
2016.02.04	35.6535	35.6918	35.5308	35.5870	4183	0	0
2016.02.05	35.5150	35.6465	35.4730	35.6465	2321	0	0
2016.02.08	35.6060	35.6060	35.4898	35.4910	2112	0	0
2016.02.09	35.4870	35.5188	35.3475	35.3475	2816	0	0
2016.02.10	35.3480	35.4128	35.2750	35.2790	3049	0	0
2016.02.11	35.2785	35.3010	35.2060	35.2060	3702	0	0
2016.02.12	35.2080	35.6505	35.2080	35.6505	4980	0	0
2016.02.15	35.6000	35.7140	35.5560	35.5755	2257	0	0
2016.02.16	35.5765	35.6678	35.5405	35.5980	2622	0	0
2016.02.17	35.6000	35.6788	35.5590	35.5590	2589	0	0
2016.02.18	35.5610	35.5998	35.5318	35.5870	2678	0	0
2016.02.19	35.5805	35.7848	35.5568	35.6860	2963	0	0
2016.02.22	35.7020	35.7910	35.6585	35.7910	1229	0	0
2016.02.23	35.7930	35.7930	35.7078	35.7185	1905	0	0
2016.02.24	35.7170	35.7368	35.6518	35.6665	2258	0	0
2016.02.25	35.6670	35.6898	35.6438	35.6585	2180	0	0
2016.02.26	35.6570	35.7458	35.6158	35.7408	1995	0	0
2016.02.29	35.7345	35.7588	35.5950	35.5980	2311	0	0
2016.03.01	35.5970	35.6388	35.5700	35.5825	2180	0	0
2016.03.02	35.5810	35.6248	35.5115	35.5115	2413	0	0
2016.03.03	35.5155	35.5378	35.3975	35.3995	2912	0	0
2016.03.04	35.4020	35.4558	35.3178	35.3415	3553	0	0
2016.03.07	35.3430	35.4938	35.3420	35.3905	2418	0	0
2016.03.08	35.3870	35.4608	35.3288	35.3330	2604	0	0
2016.03.09	35.3315	35.3848	35.2568	35.2730	2181	0	0
2016.03.10	35.2700	35.3208	35.1718	35.1855	2922	0	0
2016.03.11	35.2040	35.2198	35.0175	35.0175	3621	0	0
2016.03.14	35.0605	35.1378	35.0210	35.0965	2397	0	0
2016.03.15	35.0950	35.1378	35.0678	35.0830	2380	0	0
2016.03.16	35.0840	35.1378	34.8655	34.8655	3174	0	0
2016.03.17	34.8645	34.9170	34.7085	34.7265	4006	0	0
2016.03.18	34.7260	34.9118	34.7100	34.8365	3302	0	0
2016.03.21	34.7855	34.9448	34.7855	34.9020	2392	0	0
2016.03.22	34.9045	34.9578	34.8705	34.9470	2929	0	0
2016.03.23	34.9485	35.2638	34.9158	35.1840	3720	0	0
2016.03.24	35.1805	35.3868	35.1800	35.2700	3197	0	0
2016.03.25	35.2695	35.3588	35.2210	35.2265	1080	0	0
2016.03.28	35.2605	35.3988	35.2475	35.2915	1781	0	0
2016.03.29	35.2925	35.4378	35.2925	35.2965	2839	0	0
2016.03.30	35.2945	35.3408	35.1758	35.2050	3979	0	0
2016.03.31	35.2035	35.2548	35.0828	35.0895	3127	0	0
2016.04.01	35.0910	35.2728	35.0230	35.1385	3881	0	0
2016.04.04	35.1095	35.2758	35.1095	35.2090	2439	0	0
2016.04.05	35.2070	35.4455	35.2070	35.2605	3131	0	0
2016.04.06	35.2615	35.3168	35.1785	35.1785	1959	0	0
2016.04.07	35.1810	35.2378	34.9520	35.1535	2829	0	0
2016.04.08	35.1505	35.2248	35.0388	35.0908	3134	0	0
2016.04.11	35.0590	35.1208	34.9915	35.0040	1669	0	0
2016.04.12	35.0055	35.0578	34.9715	34.9715	2373	0	0
2016.04.13	34.9730	35.0598	34.9438	35.0560	2182	0	0
2016.04.14	35.0520	35.2058	35.0308	35.1235	2056	0	0
2016.04.15	35.1285	35.1285	35.0018	35.0038	1507	0	0
2016.04.18	34.9960	35.0898	34.9338	34.9338	2160	0	0
2016.04.19	34.9338	35.0088	34.8068	34.8100	3486	0	0
2016.04.20	34.8085	34.9388	34.8060	34.9245	2457	0	0
2016.04.21	34.9235	35.0928	34.8760	35.0400	3595	0	0
2016.04.22	35.0320	35.0798	34.9988	35.0530	2621	0	0
2016.04.25	35.0615	35.1628	35.0105	35.0655	2389	0	0
2016.04.26	35.0645	35.2198	35.0620	35.1235	2996	0	0
2016.04.27	35.1250	35.1928	35.0738	35.1205	3217	0	0
2016.04.28	35.1215	35.1358	34.9778	34.9908	4302	0	0
2016.04.29	34.9888	34.9950	34.8535	34.8828	3803	0	0
2016.05.02	34.8555	34.9110	34.8258	34.8318	727	0	0
2016.05.03	34.8370	34.9628	34.8160	34.9588	3100	0	0
2016.05.04	34.9568	35.1778	34.9558	35.1288	4319	0	0
2016.05.05	35.1288	35.1858	35.0598	35.1568	2068	0	0
2016.05.06	35.1608	35.1808	35.0818	35.1280	1716	0	0
2016.05.09	35.1485	35.2518	35.0828	35.2290	2244	0	0
2016.05.10	35.2250	35.2588	35.1838	35.2365	2607	0	0
2016.05.11	35.2350	35.2838	35.1688	35.2515	3193	0	0
2016.05.12	35.2630	35.3638	35.2048	35.3065	2530	0	0
