Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2026-02-20 21:55:00,74680,74744,74671,74739,1946,5079.52,31.114
2026-02-20 22:00:00,74739,74743,74703,74718,2106,5078.11,31.114
2026-02-20 22:05:00,74718,74769,74700,74750,1893,5080.28,31.114
2026-02-20 22:10:00,74750,74767,74710,74740,1744,5079.61,31.114
2026-02-20 22:15:00,74740,74813,74725,74790,1674,5082.98,31.114
2026-02-20 22:20:00,74790,74842,74785,74835,1955,5086.03,31.114
2026-02-20 22:25:00,74835,74837,74806,74818,1639,5084.9,31.114
2026-02-20 22:30:00,74818,74855,74786,74813,2122,5084.53,31.114
2026-02-20 22:35:00,74813,74842,74806,74833,1555,5085.91,31.114
2026-02-20 22:40:00,74833,74848,74793,74818,1701,5084.91,31.114
2026-02-20 22:45:00,74818,74846,74798,74809,2257,5084.3,31.114
2026-02-20 22:50:00,74809,74872,74798,74862,2742,5087.86,31.114
2026-02-20 22:55:00,74862,75013,74855,74994,3728,5096.82,31.114
2026-02-20 23:00:00,74994,75025,74925,74969,1387,5095.12,31.114
2026-02-20 23:05:00,74969,74983,74919,74946,908,5093.6,31.114
2026-02-20 23:10:00,74946,74975,74930,74940,860,5093.17,31.114
2026-02-20 23:15:00,74940,74965,74917,74946,975,5093.58,31.114
2026-02-20 23:20:00,74946,74983,74937,74961,838,5094.61,31.114
2026-02-20 23:25:00,74961,75021,74946,75007,937,5097.74,31.114
2026-02-20 23:30:00,75008,75039,75001,75012,739,5098.04,31.114
2026-02-20 23:35:00,75011,75038,75005,75035,575,5099.66,31.114
2026-02-20 23:40:00,75035,75042,75004,75033,518,5099.48,31.114
2026-02-20 23:45:00,75033,75114,75019,75101,851,5104.13,31.114
2026-02-20 23:50:00,75101,75142,75068,75099,1204,5103.96,31.114
2026-02-20 23:55:00,75100,75156,75084,75145,1080,5107.13,31.114
2026-02-23 00:00:00,75015,75015,75015,75015,5,5107.13,31.06
2026-02-23 00:05:00,75015,75015,75015,75015,5,5107.13,31.06
2026-02-23 00:10:00,75015,75015,74892,74942,8,5107.13,31.03
2026-02-23 00:15:00,74964,74967,74926,74964,12,5107.13,31.039
2026-02-23 00:20:00,74967,75003,74964,74976,9,5107.13,31.044
2026-02-23 00:25:00,74976,74998,74875,74901,11,5107.13,31.013
2026-02-23 00:30:00,74892,74964,74892,74933,11,5107.13,31.026
2026-02-23 00:35:00,74942,74942,74933,74942,6,5107.13,31.03
2026-02-23 00:40:00,74942,74942,74930,74933,7,5107.13,31.026
2026-02-23 00:45:00,74923,75029,74921,75029,47,5107.13,31.066
2026-02-23 00:50:00,75029,75034,74679,74699,19,5107.13,30.929
2026-02-23 00:55:00,74708,74781,74708,74742,6,5107.13,30.947
2026-02-23 01:00:00,74671,75303,74571,75204,1919,5117.18,31.077
2026-02-23 01:05:00,75224,75622,75221,75534,3123,5135.21,31.104
2026-02-23 01:10:00,75527,75640,75475,75627,2804,5146.45,31.074
2026-02-23 01:15:00,75627,75684,75488,75494,2598,5142.06,31.046
2026-02-23 01:20:00,75494,75573,75433,75516,2426,5146.23,31.03
2026-02-23 01:25:00,75524,75628,75452,75532,2159,5146.28,31.036
2026-02-23 01:30:00,75527,75601,75470,75535,2213,5146.53,31.036
2026-02-23 01:35:00,75535,75599,75455,75537,2012,5147.51,31.031
2026-02-23 01:40:00,75535,75725,75523,75705,2880,5158.6,31.033
2026-02-23 01:45:00,75710,75734,75625,75696,2339,5158.83,31.028
